Row_Index,Fecha,Hora,Airtime,Bandwidth,Coding rate,rssi,rssi p,snr,snr p,spreading factot,f cnt,f port,frequency,Etotal_SMA,F_SMA,IDC_SMA,I_SMA,PAC_SMA,PDC_SMA,Temp_SMA,VAC_SMA,VDC_SMA
85,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
